continent,location,date,population,rolling_people_vaccinated,rolling_people_vaccinated_percentage
Asia,India,2021-03-13,1380004385,29738409,2.15
North America,United States,2021-01-30,331002647,29577902,8.94
Europe,United Kingdom,2021-03-19,67886004,29015457,42.74
Europe,Germany,2021-04-29,83783945,28774580,34.34
Europe,United Kingdom,2021-03-18,67886004,28274802,41.65
Asia,India,2021-03-12,1380004385,28218457,2.04
North America,United States,2021-01-29,331002647,27884661,8.42
Europe,Germany,2021-04-28,83783945,27858192,33.25
Europe,United Kingdom,2021-03-17,67886004,27614526,40.68
South America,Brazil,2021-04-12,212559409,27432994,12.91
Europe,United Kingdom,2021-03-16,67886004,27032671,39.82
Europe,Germany,2021-04-27,83783945,26756575,31.94
South America,Brazil,2021-04-11,212559409,26741261,12.58
South America,Brazil,2021-04-10,212559409,26548845,12.49
Europe,United Kingdom,2021-03-15,67886004,26503552,39.04
North America,United States,2021-01-28,331002647,26193682,7.91
Asia,India,2021-03-11,1380004385,26164920,1.90
Europe,United Kingdom,2021-03-14,67886004,26063501,38.39
Europe,Germany,2021-04-26,83783945,25977967,31.01
Europe,United Kingdom,2021-03-13,67886004,25781120,37.98
South America,Brazil,2021-04-09,212559409,25735314,12.11
Asia,India,2021-03-10,1380004385,25685011,1.86
Europe,Germany,2021-04-25,83783945,25553915,30.50
Europe,Germany,2021-04-24,83783945,25273213,30.16
Europe,United Kingdom,2021-03-12,67886004,25216857,37.15
South America,Brazil,2021-04-08,212559409,24981199,11.75
Europe,Germany,2021-04-23,83783945,24908060,29.73
Europe,United Kingdom,2021-03-11,67886004,24759603,36.47
North America,United States,2021-01-27,331002647,24652634,7.45
Europe,United Kingdom,2021-03-10,67886004,24405231,35.95
Asia,India,2021-03-09,1380004385,24367906,1.77
Europe,Germany,2021-04-22,83783945,24362204,29.08
South America,Brazil,2021-04-07,212559409,24197996,11.38
Europe,United Kingdom,2021-03-09,67886004,24064182,35.45
Asia,China,2021-01-31,1439323774,24000000,1.67
Europe,United Kingdom,2021-03-08,67886004,23773959,35.02
Europe,Germany,2021-04-21,83783945,23734171,28.33
North America,United States,2021-01-26,331002647,23540994,7.11
Europe,United Kingdom,2021-03-07,67886004,23519898,34.65
Europe,United Kingdom,2021-03-06,67886004,23335514,34.37
Europe,Germany,2021-04-20,83783945,23023707,27.48
Asia,India,2021-03-08,1380004385,23008733,1.67
Europe,United Kingdom,2021-03-05,67886004,22887118,33.71
South America,Brazil,2021-04-06,212559409,22850791,10.75
Asia,Turkey,2021-04-30,84339067,22816891,27.05
Asia,China,2021-01-27,1439323774,22767000,1.58
North America,United States,2021-01-25,331002647,22734243,6.87
